arm,class_id,class_name,support_five_seed_sum,precision,recall,f1
head_only,0,BitTorrent,27685,0.6737509873617693,0.9859129492504967,0.8004750942123553
head_only,1,ChromeRDP,1905,0.12297979797979798,0.25564304461942255,0.1660699062233589
head_only,2,Discord,1135,0.0,0.0,0.0
head_only,3,EA Origin,6000,0.19733333333333333,0.06166666666666667,0.09396825396825396
head_only,4,Microsoft Teams,2225,0.0,0.0,0.0
head_only,5,Slack,3910,0.0,0.0,0.0
head_only,6,Steam,4435,0.16347731000546747,0.20225479143179256,0.1808103204998992
head_only,7,TeamViewer,270,0.0,0.0,0.0
head_only,8,Webex,2835,0.0,0.0,0.0
head_only,9,Zoom,1450,0.0,0.0,0.0
router_only_cap3000,0,BitTorrent,27685,0.9122170887186385,0.5634097886942387,0.6965880671668454
router_only_cap3000,1,ChromeRDP,1905,0.0572067753275807,0.28188976377952757,0.09511158342189162
router_only_cap3000,2,Discord,1135,0.030145530145530147,0.10220264317180616,0.04655829821392735
router_only_cap3000,3,EA Origin,6000,0.3238993710691824,0.2575,0.28690807799442897
router_only_cap3000,4,Microsoft Teams,2225,0.08346094946401225,0.09797752808988765,0.09013851560884846
router_only_cap3000,5,Slack,3910,0.1316357358653431,0.07800511508951406,0.09796049462020233
router_only_cap3000,6,Steam,4435,0.4224525043177893,0.27576099210822996,0.3336971350613915
router_only_cap3000,7,TeamViewer,270,0.010594021944759743,0.2074074074074074,0.020158387329013677
router_only_cap3000,8,Webex,2835,0.18525519848771266,0.1382716049382716,0.1583518481114926
router_only_cap3000,9,Zoom,1450,0.05394736842105263,0.05655172413793103,0.05521885521885522
joint_cap3000,0,BitTorrent,27685,0.8799084015316465,0.8466317500451508,0.8629493952837656
joint_cap3000,1,ChromeRDP,1905,0.10182143923559271,0.35800524934383204,0.1585493432523538
joint_cap3000,2,Discord,1135,0.0457516339869281,0.06784140969162995,0.0546486870120653
joint_cap3000,3,EA Origin,6000,0.38258014677481655,0.33016666666666666,0.3544462336732868
joint_cap3000,4,Microsoft Teams,2225,0.05956521739130435,0.06157303370786517,0.06055248618784531
joint_cap3000,5,Slack,3910,0.17737789203084833,0.08823529411764706,0.11784799316823229
joint_cap3000,6,Steam,4435,0.3745534487496565,0.3073280721533258,0.3376269507059698
joint_cap3000,7,TeamViewer,270,0.016092981671881983,0.13333333333333333,0.028719585161547666
joint_cap3000,8,Webex,2835,0.20253164556962025,0.09594356261022928,0.13020584011488753
joint_cap3000,9,Zoom,1450,0.10582010582010581,0.013793103448275862,0.024405125076266014
