top_k,jaccard_threshold,allowed_recall_drop,events,eligible_transitions,silent_drift_rate,is_registered_primary
10,0.6,0.02,7,13,0.5384615384615384,False
10,0.7,0.02,13,13,1.0,False
10,0.8,0.02,13,13,1.0,False
10,0.6,0.05,9,17,0.5294117647058824,False
10,0.7,0.05,17,17,1.0,False
10,0.8,0.05,17,17,1.0,False
10,0.6,0.1,10,19,0.5263157894736842,False
10,0.7,0.1,19,19,1.0,False
10,0.8,0.1,19,19,1.0,False
15,0.6,0.02,6,13,0.46153846153846156,False
15,0.7,0.02,9,13,0.6923076923076923,False
15,0.8,0.02,12,13,0.9230769230769231,False
15,0.6,0.05,7,17,0.4117647058823529,False
15,0.7,0.05,12,17,0.7058823529411765,True
15,0.8,0.05,16,17,0.9411764705882353,False
15,0.6,0.1,7,19,0.3684210526315789,False
15,0.7,0.1,13,19,0.6842105263157895,False
15,0.8,0.1,18,19,0.9473684210526315,False
20,0.6,0.02,2,13,0.15384615384615385,False
20,0.7,0.02,6,13,0.46153846153846156,False
20,0.8,0.02,9,13,0.6923076923076923,False
20,0.6,0.05,2,17,0.11764705882352941,False
20,0.7,0.05,7,17,0.4117647058823529,False
20,0.8,0.05,12,17,0.7058823529411765,False
20,0.6,0.1,2,19,0.10526315789473684,False
20,0.7,0.1,8,19,0.42105263157894735,False
20,0.8,0.1,14,19,0.7368421052631579,False
