checkpoint,class_id,class_name,state_before,state_after,action,rationale_mass,random_null_95,mass_margin,mass_admitted,certified_reference_jaccard,drift_checkpoint
0,0,BitTorrent,UNCERTIFIED,UNEXPLAINABLE,admission_refused_explanation_alert_withheld,0.14204002214828176,0.20131980693390356,-0.059279784785621792,False,,
0,1,ChromeRDP,UNCERTIFIED,CERTIFIED_STABLE,admission_certified,0.26993979826228476,0.24864853290840411,0.021291265353880651,True,,
1,0,BitTorrent,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.16967234292846561,0.1515940371324212,0.018078305796044414,True,,
1,1,ChromeRDP,CERTIFIED_STABLE,CERTIFIED_STABLE,monitor_no_change,0.027236704789311637,0.11489019832083307,-0.087653493531521437,False,,
1,2,Discord,UNCERTIFIED,CERTIFIED_STABLE,admission_certified,0.060198940501620876,0.059191045938766791,0.001007894562854085,True,,
1,3,EA Origin,UNCERTIFIED,UNEXPLAINABLE,admission_refused_explanation_alert_withheld,0.1118597345772317,0.12392548732426847,-0.012065752747036779,False,,
2,0,BitTorrent,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.074779143850216279,0.12043633539478722,-0.045657191544570944,False,,
2,1,ChromeRDP,CERTIFIED_STABLE,DRIFTED,human_review_escalation,0.056424401308312062,0.071456138025119839,-0.015031736716807777,False,,2
2,2,Discord,CERTIFIED_STABLE,CERTIFIED_STABLE,monitor_no_change,0.059124575801697013,0.040549397989000882,0.018575177812696131,True,,
2,3,EA Origin,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.074488200172553309,0.095731960474592814,-0.021243760302039505,False,,
2,4,Microsoft Teams,UNCERTIFIED,CERTIFIED_STABLE,admission_certified,0.069797361202608085,0.06398356203479616,0.0058137991678119255,True,,
2,5,Slack,UNCERTIFIED,UNEXPLAINABLE,admission_refused_explanation_alert_withheld,-0.074971237403165081,0.025530819207430454,-0.10050205661059554,False,,
3,0,BitTorrent,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.09097610390565472,0.10233954784488304,-0.011363443939228321,False,,
3,1,ChromeRDP,DRIFTED,UNEXPLAINABLE,strict_recertification_failed_explanation_alert_withheld,0.026135233789210646,0.047809266966918472,-0.021674033177707826,False,0.76470588235294112,
3,2,Discord,CERTIFIED_STABLE,DRIFTED,human_review_escalation,0.035049414312619806,0.041979755622532297,-0.0069303413099124911,False,,3
3,3,EA Origin,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.034652271581294559,0.067946632342640714,-0.033294360761346155,False,,
3,4,Microsoft Teams,CERTIFIED_STABLE,DRIFTED,human_review_escalation,0.049639974753051,0.045453617427473572,0.0041863573255774278,True,,3
3,5,Slack,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,-0.027157411162276809,0.01784051843550892,-0.04499792959778573,False,,
3,6,Steam,UNCERTIFIED,UNEXPLAINABLE,admission_refused_explanation_alert_withheld,0.011422899807418086,0.06423509710941086,-0.052812197301992776,False,,
3,7,TeamViewer,UNCERTIFIED,CERTIFIED_STABLE,admission_certified,0.045839988650942069,0.033481913174954983,0.012358075475987086,True,,
4,0,BitTorrent,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.025862875148821622,0.088773463879445833,-0.062910588730624217,False,,
4,1,ChromeRDP,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.014459216637161071,0.036664815606505169,-0.022205598969344098,False,,
4,2,Discord,DRIFTED,CERTIFIED_STABLE,strict_recertified,0.041322035593152978,0.035266773225640868,0.0060552623675121098,True,0.76470588235294112,
4,3,EA Origin,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.02344981673855661,0.066978798893456287,-0.043528982154899677,False,,
4,4,Microsoft Teams,DRIFTED,UNEXPLAINABLE,strict_recertification_failed_explanation_alert_withheld,0.045169613201707329,0.038475875960735359,0.0066937372409719698,True,0.66666666666666663,
4,5,Slack,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,-0.045072413473143988,0.016580804925447102,-0.061653218398591086,False,,
4,6,Steam,UNEXPLAINABLE,UNEXPLAINABLE,explanation_alert_withheld,0.025984530949297362,0.061636204988145454,-0.035651674038848093,False,,
4,7,TeamViewer,CERTIFIED_STABLE,DRIFTED,human_review_escalation,0.027262452908705763,0.025334105632790045,0.0019283472759157178,True,,4
4,8,Webex,UNCERTIFIED,CERTIFIED_STABLE,admission_certified,0.035872674081077818,0.026468147828965217,0.0094045262521126015,True,,
4,9,Zoom,UNCERTIFIED,CERTIFIED_STABLE,admission_certified,0.014370592162803933,0.008503710421143798,0.0058668817416601352,True,,
