k,jaccard_threshold,allowed_recall_drop,events,eligible_transitions,rate,is_primary
5,0.5,0,1,2,0.5,False
5,0.5,0.02,11,13,0.84615384615384615,False
5,0.5,0.050000000000000003,14,17,0.82352941176470584,False
5,0.5,0.10000000000000001,14,19,0.73684210526315785,False
5,0.59999999999999998,0,1,2,0.5,False
5,0.59999999999999998,0.02,11,13,0.84615384615384615,False
5,0.59999999999999998,0.050000000000000003,14,17,0.82352941176470584,False
5,0.59999999999999998,0.10000000000000001,14,19,0.73684210526315785,False
5,0.69999999999999996,0,2,2,1,False
5,0.69999999999999996,0.02,13,13,1,False
5,0.69999999999999996,0.050000000000000003,16,17,0.94117647058823528,False
5,0.69999999999999996,0.10000000000000001,17,19,0.89473684210526316,False
5,0.80000000000000004,0,2,2,1,False
5,0.80000000000000004,0.02,13,13,1,False
5,0.80000000000000004,0.050000000000000003,16,17,0.94117647058823528,False
5,0.80000000000000004,0.10000000000000001,17,19,0.89473684210526316,False
10,0.5,0,1,2,0.5,False
10,0.5,0.02,1,13,0.076923076923076927,False
10,0.5,0.050000000000000003,1,17,0.058823529411764705,False
10,0.5,0.10000000000000001,1,19,0.052631578947368418,False
10,0.59999999999999998,0,2,2,1,False
10,0.59999999999999998,0.02,7,13,0.53846153846153844,False
10,0.59999999999999998,0.050000000000000003,9,17,0.52941176470588236,False
10,0.59999999999999998,0.10000000000000001,10,19,0.52631578947368418,False
10,0.69999999999999996,0,2,2,1,False
10,0.69999999999999996,0.02,13,13,1,False
10,0.69999999999999996,0.050000000000000003,17,17,1,False
10,0.69999999999999996,0.10000000000000001,19,19,1,False
10,0.80000000000000004,0,2,2,1,False
10,0.80000000000000004,0.02,13,13,1,False
10,0.80000000000000004,0.050000000000000003,17,17,1,False
10,0.80000000000000004,0.10000000000000001,19,19,1,False
15,0.5,0,0,2,0,False
15,0.5,0.02,0,13,0,False
15,0.5,0.050000000000000003,0,17,0,False
15,0.5,0.10000000000000001,0,19,0,False
15,0.59999999999999998,0,0,2,0,False
15,0.59999999999999998,0.02,6,13,0.46153846153846156,False
15,0.59999999999999998,0.050000000000000003,7,17,0.41176470588235292,False
15,0.59999999999999998,0.10000000000000001,7,19,0.36842105263157893,False
15,0.69999999999999996,0,0,2,0,False
15,0.69999999999999996,0.02,9,13,0.69230769230769229,False
15,0.69999999999999996,0.050000000000000003,12,17,0.70588235294117652,True
15,0.69999999999999996,0.10000000000000001,13,19,0.68421052631578949,False
15,0.80000000000000004,0,1,2,0.5,False
15,0.80000000000000004,0.02,12,13,0.92307692307692313,False
15,0.80000000000000004,0.050000000000000003,16,17,0.94117647058823528,False
15,0.80000000000000004,0.10000000000000001,18,19,0.94736842105263153,False
20,0.5,0,0,2,0,False
20,0.5,0.02,0,13,0,False
20,0.5,0.050000000000000003,0,17,0,False
20,0.5,0.10000000000000001,0,19,0,False
20,0.59999999999999998,0,0,2,0,False
20,0.59999999999999998,0.02,2,13,0.15384615384615385,False
20,0.59999999999999998,0.050000000000000003,2,17,0.11764705882352941,False
20,0.59999999999999998,0.10000000000000001,2,19,0.10526315789473684,False
20,0.69999999999999996,0,0,2,0,False
20,0.69999999999999996,0.02,6,13,0.46153846153846156,False
20,0.69999999999999996,0.050000000000000003,7,17,0.41176470588235292,False
20,0.69999999999999996,0.10000000000000001,8,19,0.42105263157894735,False
20,0.80000000000000004,0,0,2,0,False
20,0.80000000000000004,0.02,9,13,0.69230769230769229,False
20,0.80000000000000004,0.050000000000000003,12,17,0.70588235294117652,False
20,0.80000000000000004,0.10000000000000001,14,19,0.73684210526315785,False
