dataset,seed,from_checkpoint,to_checkpoint,class_id,class_name,recall_before,recall_after,delta_recall,jaccard_top5,jaccard_top10,jaccard_top15,jaccard_top20,cosine_similarity,kendall_tau_b,primary_eligible,primary_event,prediction_flip_rate_all_common_probe_rows,prediction_flip_events,prediction_flip_denominator
malaya-network-gt,1,0,1,0,BitTorrent,0.37746071880079468,0.79068087411955934,0.41322015531876466,0.25,0.42857142857142855,0.76470588235294112,0.81818181818181823,0.89969782067009874,0.76462247429989361,True,False,0.56640625,145,256
malaya-network-gt,1,0,1,1,ChromeRDP,0.91076115485564302,0.49081364829396323,-0.41994750656167978,0.42857142857142855,0.66666666666666663,0.76470588235294112,0.90476190476190477,0.7817621933269745,0.81495923431407302,False,False,0.56640625,145,256
malaya-network-gt,1,1,2,0,BitTorrent,0.79068087411955934,0.76250677262055266,-0.028174101499006676,0.25,0.53846153846153844,0.76470588235294112,0.90476190476190477,0.89109264791243159,0.76107763204537393,True,False,0.2109375,108,512
malaya-network-gt,1,1,2,1,ChromeRDP,0.49081364829396323,0.45406824146981628,-0.036745406824146953,0.25,0.66666666666666663,0.66666666666666663,0.73913043478260865,0.90525056092767897,0.76249556894718185,True,True,0.2109375,108,512
malaya-network-gt,1,1,2,2,Discord,0.15418502202643172,0.14096916299559473,-0.013215859030836996,0.25,0.53846153846153844,0.76470588235294112,0.66666666666666663,0.68554245703868233,0.78660049627791562,True,False,0.2109375,108,512
malaya-network-gt,1,1,2,3,EA Origin,0.56833333333333336,0.51583333333333337,-0.052499999999999991,1,0.66666666666666663,0.76470588235294112,0.73913043478260865,0.92984263348986751,0.77383906416164472,False,False,0.2109375,108,512
malaya-network-gt,1,2,3,0,BitTorrent,0.76250677262055266,0.77063391728372765,0.00812714466317499,0.66666666666666663,0.53846153846153844,0.875,0.90476190476190477,0.94070680603370349,0.83197447713576733,True,False,0.18619791666666666,143,768
malaya-network-gt,1,2,3,1,ChromeRDP,0.45406824146981628,0.4356955380577428,-0.018372703412073477,0.25,0.66666666666666663,0.66666666666666663,0.73913043478260865,0.89096545932258664,0.80999645515774532,True,True,0.18619791666666666,143,768
malaya-network-gt,1,2,3,2,Discord,0.14096916299559473,0.1277533039647577,-0.013215859030837024,0.42857142857142855,0.66666666666666663,0.57894736842105265,0.59999999999999998,0.89810953778279601,0.78660049627791562,True,True,0.18619791666666666,143,768
malaya-network-gt,1,2,3,3,EA Origin,0.51583333333333337,0.50249999999999995,-0.013333333333333419,0.42857142857142855,0.66666666666666663,0.57894736842105265,0.73913043478260865,0.40743701207869298,0.75824175824175821,True,True,0.18619791666666666,143,768
malaya-network-gt,1,2,3,4,Microsoft Teams,0.080898876404494377,0.053932584269662923,-0.026966292134831454,0.25,0.53846153846153844,0.66666666666666663,0.73913043478260865,0.86646874399958129,0.79936192839418641,True,True,0.18619791666666666,143,768
malaya-network-gt,1,2,3,5,Slack,0.14194373401534527,0.079283887468030695,-0.062659846547314574,0.66666666666666663,0.53846153846153844,0.66666666666666663,0.66666666666666663,0.91309212861501909,0.79865295994328245,False,False,0.18619791666666666,143,768
malaya-network-gt,1,3,4,0,BitTorrent,0.77063391728372765,0.76774426584793209,-0.0028896514357955594,0.66666666666666663,0.66666666666666663,0.76470588235294112,0.90476190476190477,0.92775607664229565,0.80928748670684147,True,False,0.090526315789473691,86,950
malaya-network-gt,1,3,4,1,ChromeRDP,0.4356955380577428,0.39370078740157483,-0.041994750656167978,1,0.66666666666666663,0.57894736842105265,0.66666666666666663,0.90591554439003608,0.76107763204537393,True,True,0.090526315789473691,86,950
malaya-network-gt,1,3,4,2,Discord,0.1277533039647577,0.12334801762114538,-0.0044052863436123274,0.42857142857142855,0.53846153846153844,0.5,0.66666666666666663,0.88216750404323285,0.75753278979085426,True,True,0.090526315789473691,86,950
malaya-network-gt,1,3,4,3,EA Origin,0.50249999999999995,0.495,-0.0074999999999999512,0.42857142857142855,0.53846153846153844,0.66666666666666663,0.73913043478260865,0.40955061814802601,0.7490251683800071,True,True,0.090526315789473691,86,950
malaya-network-gt,1,3,4,4,Microsoft Teams,0.053932584269662923,0.053932584269662923,0,0.25,0.66666666666666663,0.57894736842105265,0.81818181818181823,0.92168718226434965,0.77951081176887627,True,True,0.090526315789473691,86,950
malaya-network-gt,1,3,4,5,Slack,0.079283887468030695,0.076726342710997444,-0.0025575447570332505,0.25,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.91184124352535134,0.8199220134704005,True,True,0.090526315789473691,86,950
malaya-network-gt,1,3,4,6,Steam,0.40698985343855693,0.40135287485907556,-0.0056369785794813665,0,0.53846153846153844,0.57894736842105265,0.53846153846153844,0.73276372605052376,0.71428571428571419,True,True,0.090526315789473691,86,950
malaya-network-gt,1,3,4,7,TeamViewer,0.1111111111111111,0.1111111111111111,0,0.42857142857142855,0.53846153846153844,0.57894736842105265,0.53846153846153844,0.84304158841201404,0.71853952499113782,True,True,0.090526315789473691,86,950
