arm,arm_label,class_id,class_name,support,precision_mean,precision_sd,class_wise_accuracy_recall_mean,class_wise_accuracy_recall_sd,f1_mean,f1_sd
last_epoch,Last epoch (primary),0,Benign,174421,0.9554876108048896,0.044896364430687424,0.8689974257686861,0.08252199557992425,0.9072929968046525,0.04418288966604721
last_epoch,Last epoch (primary),1,DoS GoldenEye,2059,0.8440498738216984,0.11803001046934221,0.9782418649830016,0.008872004567173209,0.9021629202475887,0.07340881120718837
last_epoch,Last epoch (primary),2,DoS Hulk,46215,0.8202118078179035,0.11218514690324669,0.810113599480688,0.13660245702341972,0.806109807918377,0.08199761059786363
last_epoch,Last epoch (primary),3,DoS Slowhttptest,1100,0.4851214209190127,0.21540302010584966,0.7501818181818182,0.14328409045847484,0.5463004605055571,0.07734964502744646
last_epoch,Last epoch (primary),4,DoS slowloris,1159,0.432185945403505,0.28348844441284504,0.6900776531492665,0.21184241165327683,0.48292339150630664,0.16465021135188876
last_epoch,Last epoch (primary),5,FTP-Patator,1588,0.2644335867742463,0.2689006695006869,0.6897984886649874,0.44279073715650114,0.30850040444576776,0.28469414523026176
last_epoch,Last epoch (primary),6,Heartbleed,2,0.05373860182370821,0.07639158528868668,0.6,0.5477225575051662,0.09431539138313658,0.1325046196708757
last_epoch,Last epoch (primary),7,SSH-Patator,1179,0.20179334586102926,0.11639719124881844,0.8227311280746396,0.23310119489761982,0.3043246643421218,0.14657456113201003
training_only_calibration,Training-only calibration,0,Benign,174421,0.9504652017573216,0.04869556384364739,0.8956100469553551,0.05049811941940828,0.920679240812008,0.028392555220767595
training_only_calibration,Training-only calibration,1,DoS GoldenEye,2059,0.9055659827803894,0.02703747735533457,0.9466731423020883,0.04774362309584938,0.9247408304490401,0.020289430171320354
training_only_calibration,Training-only calibration,2,DoS Hulk,46215,0.8782984339017388,0.07735255546203787,0.8110007573298713,0.18125495975741443,0.8271078030995346,0.07473561712546081
training_only_calibration,Training-only calibration,3,DoS Slowhttptest,1100,0.4160374081678717,0.09758359571120592,0.7954545454545455,0.0578613332398893,0.5377779825234968,0.07996859280642418
training_only_calibration,Training-only calibration,4,DoS slowloris,1159,0.4049667204742272,0.17875605229310987,0.7423641069887834,0.11038710714064502,0.49560547851313264,0.10459075999713972
training_only_calibration,Training-only calibration,5,FTP-Patator,1588,0.41839350825445215,0.1693952948969685,0.7006297229219143,0.24883603052358322,0.5152938034801952,0.1986794928112447
training_only_calibration,Training-only calibration,6,Heartbleed,2,0.04210726955048446,0.057541514793573584,0.6,0.5477225575051662,0.07622911032522016,0.1037549323114778
training_only_calibration,Training-only calibration,7,SSH-Patator,1179,0.1650180296455713,0.11041178267529105,0.6900763358778627,0.38667292319161195,0.21012802641137113,0.1661664271027511
